name of scholarship,link,category,money earned,deadline,brief description,submitted by
Niche's 50k No-Essay Scholarship,https://www.niche.com/colleges/scholarships/50k-no-essay-scholarship/?utm_source=bold.org&utm_medium=Referral&utm_campaign=bold_50k_202208&subId1=902463,No-Essay,"$50,000",September 30th 2022,"Apply with just a click of a button to have a chance of winning $50,000 to cover college expenses! No essay required!",Abigail Jeffie
Goodwall #ScholarshipNow Challenge,https://scholarshipusa.goodwall.io/ ,"Video, No Essay","$2,500",September 30th 2022,Post 2-min video,Abhinav Biju
"Scholarships360 $1,000 Scholarship",https://scholarships360.org/scholarships/search/scholarships360-1000-no-essay-scholarship/ ,No-Essay,"$1,000",September 30th 2022,Create an account with Scholarships360,Abhinav Biju
BigFuture Scholarships for the Class of 2023,https://bigfuture.collegeboard.org/pay-for-college/bigfuture-scholarships?excmpid=oc453-st-33-s360,No-Essay,Amounts vary,Deadlines vary,Do certain tasks related to college planning,Abhinav Biju
"""Be Bold"" No-Essay Scholarship",https://bold.org/scholarships/the-be-bold-no-essay-scholarship/#ref=exclusive-scholarships,No-Essay,"$25,000",September 30th 2022,Be the applicant with the 'boldest' profile,Abhinav Biju
No Essay Smart Owl Scholarship,https://scholarshipowl.com/awards/smart-owl-scholarship?transaction_id=10292ebb23d88e18d74b41c8dc3493&offer_id=24&affiliate_id=1490&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=,No-Essay Sweepstakes,"$7,000","September 29th 2022, 11:59 PM PDT",Create an account to enter sweepstakes,Abhinav Biju
Create-A-Greeting-Card Scholarship,https://www.gallerycollection.com/greeting-cards-scholarship.htm,"No-Essay, Artistic","$10,000","March 2nd, 2023","Submit artwork for a postcard design, judges choose the best submission to recieve the scholarship",Harshadeep Kambhampati
ScholarshipPoints No-Essay Scholarships,https://www.scholarshippoints.com,"No-Essay, Sweepstakes",Amounts vary,Deadlines vary,"Sign up to enter scholarship sweepstakes, participants can increase their number of entries by completing tasks mentioned on the website",Harshadeep Kambhampati
"$2,000 Nitro Scholarship",https://www.nitrocollege.com/nitro-scholarship-application?utm_source=cpc&utm_medium=fastweb&utm_campaign=FW_student_yml,No-Essay,"$2,000",September 30th 2022 (additional monthly scholarships),"Apply with basic information, sweepstakes-based scholarship",Harshadeep Kambhampati
CollegeXpress Scholarship,https://www.collegexpress.com/reg/signup?campaign=10k&utm_campaign=studentscholarships&utm_medium=link&utm_source=studentscholarships,No-Essay,"$10,000","September 30th, 2022",Register to create an account with CollegeXpress to automatically be entered into their annual scholarship and access their scholarship and college resources,Harshadeep Kambhampati
"Cirkled In ""No Sweat"" Scholarship",https://www.cirkledin.com/scholarships/?ref=counselor-scholarship-flyer,No-Essay,"$2,500","September 30th, 2022","Sign up for a Cirkled In account and complete your student portfolio to enter, the more you add to your portfolio the better your chances of winning",Harshadeep Kambhampati
Coca-Cola Scholars Foundation,https://www.coca-colascholarsfoundation.org/,No-Essay,"$20,000","October 31st, 2022","Simply submit an application with your information by the deadline to be eligible to be selected as one of 150 applicants for a $20,000 scholarship",Harshadeep Kambhampati
Unigo Shout It Out Scholarship,https://www.unigo.com/scholarships/our-scholarships/shout-it-out-scholarship#/fromscholarshipexperts,Essay (250 words),"$1,500","September 30th, 2022","Essay based scholarship for applicants to write about ""whatever they want to say to the rest of the world"", must be 250 words or less",Harshadeep Kambhampati
JMJ Phillip Group STEM Scholarship,https://jmjphillip.com/jmj-phillip-stem-scholarship/,"Essay, Letter of Reccomendation","$1,000",Deadlines vary,"Scholarship offered to students in college or already accepted into college, requires a STEM-related essay submission, a letter of reccomendation, and a letter of acceptance from a college they plan on attending",Harshadeep Kambhampati
VFW Voice of Democracy Scholarship,https://www.vfw.org/community/youth-and-education/youth-scholarships,Essay,Amounts vary,"October 31st, 2022","Applicants must record a 3-5 minute audio essay and submit their audio essay along with a written copy, scholarship recipients will be judged on both the content of writing and delivery of speech",Harshadeep Kambhampati
Apprentice Ecologist Initiative Scholarship,http://www.wildernessproject.org/volunteer_apprentice_ecologist.php,"Project, Essay","$1,750","December 31st, 2022","Conduct a basic ""environmental stewardship"" project such as recycling trash or planting trees, then submit pictures of your project and write an essay about your project",Harshadeep Kambhampati
